Controller,Joint,ISE,IAE,MAE,RMSE,MaxAbs
TDC,1,0.0002507801326654919,0.03929692115519759,0.003929692115519759,0.005007795250062565,0.014771612491113764
TDC,2,6.8273885913228e-05,0.02008195610035546,0.0020081956100355463,0.002612927207429017,0.016352312850756556
TDC,3,8.622990373004022e-05,0.018183327102551963,0.0018183327102551964,0.0029364928695646483,0.03725133573637107
TDC,4,4.4200027819221e-05,0.016986661286370035,0.0016986661286370038,0.0021023802657754616,0.010603021891774032
TDC,5,5.1110018279703106e-05,0.01849364598408082,0.001849364598408082,0.0022607524915324788,0.0089644302032732
TDC,6,9.071848974687726e-05,0.022664853029563233,0.002266485302956323,0.0030119510246163906,0.029747623534747986
AISMC,1,2.6600650183522635e-05,0.012068316730805644,0.0012068316730805644,0.0016309705755629877,0.014390422848008252
AISMC,2,2.48357438862673e-06,0.0023918837110641364,0.00023918837110641365,0.0004983547319557355,0.010903253001206537
AISMC,3,5.429304985137598e-05,0.014122367921212431,0.001412236792121243,0.002330086905061182,0.03191847057300312
AISMC,4,8.713556430483774e-06,0.007372129390729133,0.0007372129390729133,0.0009334643233934425,0.007659755909697778
AISMC,5,4.344630341486909e-05,0.009436504166911127,0.0009436504166911128,0.002084377686861695,0.03422892111923881
AISMC,6,9.752239756564983e-05,0.01987984037781882,0.001987984037781882,0.0031228576266882522,0.03327486085312822
NFTSM,1,0.4629576531934814,2.13558232902583,0.213558232902583,0.21516450757350325,0.27751628162457886
NFTSM,2,0.31327683791055155,1.5645508705029232,0.15645508705029232,0.1769962818565835,0.2960942356199189
NFTSM,3,0.5780385383270654,2.370861044442397,0.23708610444423972,0.2404243203852442,0.32440007233378315
NFTSM,4,0.1490733539982926,1.184475870899112,0.11844758708991121,0.12209559942860046,0.15431445696290658
NFTSM,5,0.8595526212775504,2.8760416766571506,0.28760416766571506,0.29318127861061494,0.3643713218237723
NFTSM,6,0.034681482364167675,0.4953779230380666,0.04953779230380666,0.05889098603705636,0.14308572572504363
MAG-STC,1,0.04071970262219919,0.32109558027918705,0.032109558027918705,0.0638119915236934,0.21759514279731595
MAG-STC,2,0.06481928096671988,0.33214965850611966,0.03321496585061196,0.08051042228601206,0.33957686643065604
MAG-STC,3,0.3125554018691922,0.8753180252720386,0.08753180252720386,0.1767923646171384,0.6016925401407632
MAG-STC,4,0.001308742655565331,0.07690288432560241,0.007690288432560241,0.01144002908897233,0.026220311200579723
MAG-STC,5,1.3375130065624867,1.8757178863584418,0.18757178863584417,0.3657202491744867,1.1142666056658954
MAG-STC,6,0.060799040994370356,0.42600801032727464,0.04260080103272746,0.07797373980666206,0.2822189827465695
ASMC,1,1.230170414340725e-06,0.0015746967997360276,0.00015746967997360274,0.000350737852867455,0.008129409263404472
ASMC,2,1.5148295335790408e-07,0.0004790655355542654,4.790655355542654e-05,0.00012307841133111204,0.004122160970186195
ASMC,3,1.588511987721005e-05,0.0024110576964879557,0.00024110576964879557,0.001260361847931381,0.02367650065071536
ASMC,4,6.270449412072214e-08,0.0004705454405161084,4.7054544051610844e-05,7.918616932313505e-05,0.0016696562117761607
ASMC,5,1.88815164735348e-05,0.006383904326992169,0.0006383904326992169,0.0013741003046915754,0.01211725825612242
ASMC,6,1.0317382680212649e-05,0.0049308657453083085,0.0004930865745308308,0.0010157451786847254,0.018215144790399457
